iso,country,epi,air,water,altepi,score,property,integrity,judicial,tax,spending,fiscal,business,labor,monetary,trade,investment,financial,gdppercapita,pppgdppercapita
AFG,Afghanistan,30.7,15.8,32.3,24.05,N/A,4.9,18.1,4.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA
ALB,Albania,52.1,36.5,71.3,53.9,64.8,56.8,36.6,50,88.8,69.8,51.7,74.1,51.5,75.7,82.6,70,70,8367.77573143421,21395.3250372633
DZA,Algeria,41.9,46.1,64.7,55.4,43.9,27.5,27.7,28.9,79.4,54.7,13.8,54.4,51.4,71.9,57.4,30,30,5260.20624980797,17026.9616747867
AGO,Angola,39.7,19.9,22.9,21.4,54.3,40.4,27.8,25.7,86.5,85.8,91.1,44.6,50.8,60,68.6,30,40,2309.52162029791,8040.54360062078
ATG,Antigua and Barbuda,55.5,77.8,56.9,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21560.2153299665,31802.3771965018
ARG,Argentina,46.8,47.6,68.3,57.95,49.9,34.5,39.8,55.8,67,54.3,35.7,55.5,53.5,29.4,58.6,55,60,13730.5147090247,29362.6924187322
ARM,Armenia,44.7,30.9,74.2,52.55,64.9,50.3,50,31.6,87.6,75.5,69.1,69.2,58.9,67.5,73.6,75,70,8715.76533622178,23054.6005230691
AUS,Australia,63,81,90.9,85.95,76.2,91,85.2,94.4,62.6,48.2,39.9,92.1,65.4,75.6,89.8,80,90,64711.7656030565,69114.7378945066
AUT,Austria,69,61.5,92.6,77.05,68.4,96.9,74.8,94.8,45.1,8.6,36.5,81.9,78.9,73.8,79.2,80,70,56505.9682796867,73751.35270638
AZE,Azerbaijan,40.4,38.2,48.2,43.2,61.6,53,24,18.5,87.9,67.6,99.4,69.6,56.1,63.9,69,70,60,7155.08360355897,23685.5386398553
BHS,Bahamas,56,76.4,63.8,70.1,62.5,60.9,65.5,78.4,96.5,76.1,4.2,67.2,70.2,71.7,49.6,50,60,34749.6382896736,35554.7994806397
BHR,Bahrain,35.9,32.7,66.9,49.8,63.4,65.1,38,30.2,99.9,68.7,0,72,56.7,79.5,85.2,85,80,29084.3071297448,63847.8297282665
BGD,Bangladesh,27.8,6.3,31.9,19.1,54.4,36,23,28.8,82.4,94.9,69.1,50.2,47.3,69.5,62,50,40,2529.08012688018,9065.69893428451
BRB,Barbados,53.1,85.8,59.8,72.8,66.8,72.3,68.3,87.3,81.4,66.3,55.7,73.3,56.2,77.7,43.6,60,60,22672.6154350731,19357.1694428676
BLR,Belarus,58.1,51.3,74.5,62.9,48.4,22.1,33,11.1,90.1,58.8,83.6,52.9,46.3,62.2,70.8,30,20,7829.05313660622,30751.4954188551
BEL,Belgium,66.7,64.8,88.2,76.5,65.6,91.6,78.9,91.5,51.1,6.1,20,82.6,58.8,72.4,79.2,85,70,53475.2934952935,70455.9584257956
BLZ,Belize,47.4,41.3,50.4,45.85,61.2,34.1,41.4,71.5,82,78.5,64.7,67.2,64.1,70.9,55.2,55,50,7987.58595509037,14195.3136207765
BEN,Benin,37.4,25,20.1,22.55,57.7,44.6,41.3,48.5,69.6,88.5,48.9,48.9,59.1,81.9,61,50,50,1434.66283439144,4248.31081739622
BTN,Bhutan,43.3,16.8,35,25.9,55.4,67.3,71,64.2,83.6,61.8,36.5,67,56.7,69.2,37.6,20,30,NA,NA
BOL,Bolivia,44.9,23,46.5,34.75,43.5,21.3,28.2,28.1,86.9,61.2,7.2,54.5,46,72.4,60.6,15,40,3700.97833772869,10726.9988078303
BIH,Bosnia and Herzegovina,45.6,22.9,78.7,50.8,62,48.2,33.2,34.2,93.3,48.6,96.6,66.8,60.6,70.1,68,65,60,8426.09111019155,22845.5185486781
BWA,Botswana,49,34.5,20.1,27.3,68,73.6,58.7,69.3,86.7,68.7,68.4,66,60.6,65.1,78.8,60,60,7249.79932596262,19383.17259582
BRA,Brazil,53,36.2,59.4,47.8,53.2,49.1,36.9,55,69.7,34.9,30.9,67,56.9,71.6,66.8,50,50,10043.6239221567,20584.4191661579
BRN,Brunei Darussalam,48.5,68.7,87.9,78.3,65.9,68.8,59.8,52.3,95.8,73.7,20,76.5,75.2,68.9,84.8,65,50,33430.9184783787,86445.6605268602
BGR,Bulgaria,56.3,32,79.3,55.65,68.5,75.9,44,57.4,92.9,56.2,91.4,75.3,68.7,70.5,79.2,60,50,15797.5955773596,38689.5480749166
BFA,Burkina Faso,41.5,39.8,15.7,27.75,51.9,38,42.4,36.4,82.2,76.3,13.2,42,61.8,64.5,60.6,65,40,874.121280381345,2726.94230998002
BDI,Burundi,33,9.1,16.8,12.95,38.4,28.2,12,7.1,76,67.6,10.7,27.7,41.9,60.3,49.6,50,30,199.580760181492,950.879813933229
CPV,Cabo Verde,37.9,63.1,36.5,49.8,62.9,63.7,49.1,75.4,84.6,72.8,3.8,72.1,52,74.8,66.4,80,60,4321.57986427786,9086.23353993305
KHM,Cambodia,31,18.2,40.2,29.2,55.6,41,18.6,22,88.8,78.2,74.7,54.7,47.4,71.5,70.8,50,50,1875.07148192948,5624.13751533076
CMR,Cameroon,38.1,17,23,20,53.6,38.8,40.7,10.4,72.5,91.4,86.4,46.8,46.2,75.9,53.6,30,50,1673.64888857222,5380.15888999578
CAN,Canada,61.1,72.3,94.7,83.5,72.4,88.6,73.1,95,75.8,34.7,33.9,84.1,69.5,70.3,83.6,80,80,53371.6974319701,61582.3499713265
CAF,Central African Republic,38.3,15.6,8.9,12.25,41.3,7.2,16.7,4.8,65.3,87,56.1,26.6,39.7,70.9,46.6,45,30,445.028195988605,1129.98045399934
TCD,Chad,35.2,33.6,4.3,18.95,51.4,27.8,11.1,14.7,77.8,89.1,95.2,28.3,53.5,71.7,47.2,60,40,719.384875157521,1969.30313518073
CHL,Chile,50,29.2,80.1,54.65,71.4,72.5,68.2,87.9,71.8,73.4,66,79.2,58.6,70.9,78,60,70,17093.2419713921,33284.4947338649
CHN,China,35.5,14.3,74.5,44.4,48.5,46.9,41.6,39.5,69.1,65.7,8.1,68.1,57.8,71.8,73.6,20,20,12614.0609948923,24557.6389534489
COL,Colombia,49.4,39.6,59.7,49.65,59.2,45,38.1,58.3,68.7,65.3,19.5,68.8,61.9,72.3,72.6,70,70,6979.72513470377,21548.0133685917
COM,Comoros,37.9,46.8,25.8,36.3,52,24.6,14.1,20.4,65.4,89.3,89.2,48.8,55.7,71.7,69.6,45,30,1587.16189555687,3854.78878468884
CRI,Costa Rica,55.5,49.6,68,58.8,67.7,65.4,58.7,76.9,78.9,86.9,44.4,79.5,61.8,74.5,75,60,50,16595.3703837185,27952.4766235187
CIV,Cote d'Ivoire,42.5,37,24.4,30.7,58.4,44.1,33.3,29.7,78.9,86.7,41.1,64.6,57.1,66.3,73.6,75,50,2728.80324620071,7790.85551957628
HRV,Croatia,62.6,40.6,85.4,63,67.2,79.8,51.3,71,81.7,27.1,74.8,76.5,68.2,67.4,79.2,70,60,21459.7847808036,45909.6344841758
CUB,Cuba,52.3,52.5,58.8,55.65,25.7,30.1,36.2,15.2,51.9,0,0,41.5,20,20.3,72.8,10,10,NA,NA
CYP,Cyprus,54,55.9,86.7,71.3,72.2,83.7,55.9,88.7,79.9,45.5,79.3,78.6,66.7,74.5,79.2,75,60,34701.44140625,57100.46484375
CZE,Czech Republic,65.6,50.4,80,65.2,70.2,89.3,60.7,83.1,79.6,36.2,58.7,77.3,58.9,68.8,79.2,70,80,30427.4234688601,53816.8033895232
COD,Dem. Rep. Congo,39,8.2,25.7,16.95,47.6,15.1,11.3,12.6,74.2,93,93.1,32.6,55.6,65.6,68.2,30,20,649.143987939358,1670.84721852628
DNK,Denmark,67.9,70.9,91,80.95,77.8,98.6,97.4,89.6,41.8,26.8,98.2,92.7,64.9,74.3,79.2,90,80,67967.3818685562,76687.9028437306
DJI,Djibouti,32.2,29.2,25.8,27.5,55.8,31.4,26.2,27.6,83.6,83.7,89.3,49.9,50,67.5,49.8,60,50,3606.4168960124,7204.04843559721
DMA,Dominica,49.2,62,51.3,56.65,54,67.9,59.4,82.7,76.4,0,7.4,63.7,49.9,75.8,54.8,70,40,8953.89639365543,17598.643617954
DOM,Dominican Republic,47.6,46.3,42.4,44.35,62.9,55.5,35.9,58.6,84.4,88.3,57.6,75.5,53.3,66.9,68.4,70,40,10716.0133558903,25610.5118658401
ECU,Ecuador,51.2,37.3,63.5,50.4,55,32.9,34.9,48.5,74.7,55.1,79.9,65,57,75.3,66.4,30,40,6533.35150400616,15870.2617020335
EGY,Egypt,43.8,31.7,53,42.35,49.7,40,26.2,21.9,85.4,80.8,11.8,48.9,32.8,72.9,60.2,65,50,3512.58006529798,18816.5055922135
SLV,El Salvador,41.5,22.9,50,36.45,54.4,41.6,33.6,14.4,76.6,71.7,42.8,62.5,54.8,64.9,70,60,60,5344.21439437871,12542.3090140573
GNQ,Equatorial Guinea,41.6,32.4,35.3,33.85,47.7,21,5.7,8.3,75.1,92.9,97.6,33.3,46.4,72.8,48.8,40,30,7066.61659257734,18723.6470838212
ERI,Eritrea,28.6,26.9,15.9,21.4,39.5,8.3,15,4.6,80.3,62.3,69,30.7,51.4,63.8,68.4,0,20,NA,NA
EST,Estonia,75.3,60.9,71.9,66.4,77.8,92.8,81.2,93.4,80.8,46.8,85.4,83.2,64.2,66.2,79.2,90,70,29823.7496069016,48992.1409511815
SWZ,Eswatini,38.5,22.5,18.1,20.3,55.6,44.9,29.9,36.4,78.3,72.6,63.6,46.4,54.8,76.6,73.6,50,40,3797.30120946164,11740.8152773294
ETH,Ethiopia,35.8,25.4,18.5,21.95,47.9,27.7,33.8,20.6,78.4,94.4,79,44.1,39.3,49.8,57.4,30,20,1293.7780075976,3109.2765123205
